,count,count_per,favorite_count_sum,retweet_count_sum,rating_num_mean,rating_den_mean,favorite_count_mean,retweet_count_mean
Not Defined,457,21.335200747,3409434,1228719,14.95404814,10.363238512,7460.46827133,2688.66301969
Golden Retriever,158,7.37628384687,1946405,585506,12.9430379747,11.2658227848,12319.0189873,3705.73417722
Labrador Retriever,108,5.04201680672,1262718,402389,13.6388888889,12.2222222222,11691.8333333,3725.82407407
Pembroke,95,4.43510737628,1040459,290206,11.4105263158,10.0,10952.2,3054.8
Chihuahua,91,4.24836601307,772178,258789,10.5494505495,10.0,8485.47252747,2843.83516484
Pug,62,2.89449112979,380302,117216,10.2419354839,10.0,6133.90322581,1890.58064516
Toy Poodle,51,2.38095238095,335854,114357,11.0392156863,10.0,6585.37254902,2242.29411765
Chow,48,2.24089635854,454230,132474,14.1666666667,12.2916666667,9463.125,2759.875
Samoyed,42,1.96078431373,578683,200631,11.6904761905,10.0,13778.1666667,4776.92857143
Pomeranian,42,1.96078431373,319814,113503,12.4761904762,10.0,7614.61904762,2702.45238095
Malamute,33,1.5406162465,355301,109202,10.8787878788,10.0,10766.6969697,3309.15151515
Chesapeake Bay Retriever,31,1.44724556489,309995,83288,10.8387096774,10.0,9999.83870968,2686.70967742
French Bulldog,31,1.44724556489,578241,156881,11.1935483871,10.0,18652.9354839,5060.67741935
Cocker Spaniel,30,1.40056022409,411954,146682,11.3333333333,10.0,13731.8,4889.4
Miniature Pinscher,25,1.16713352007,201354,56952,10.0,10.0,8054.16,2278.08
Eskimo Dog,22,1.02707749767,232774,91967,11.4090909091,10.0,10580.6363636,4180.31818182
Staffordshire Bullterrier,21,0.980392156863,190069,47602,10.7619047619,10.0,9050.9047619,2266.76190476
German Shepherd,21,0.980392156863,215452,55473,11.0,10.0,10259.6190476,2641.57142857
Cardigan,21,0.980392156863,267120,78678,11.1428571429,10.0,12720.0,3746.57142857
Siberian Husky,20,0.93370681606,138947,34003,11.3,10.0,6947.35,1700.15
Beagle,20,0.93370681606,87259,26693,10.15,10.0,4362.95,1334.65
Shih-Tzu,20,0.93370681606,71093,28159,10.35,10.0,3554.65,1407.95
Maltese Dog,19,0.887021475257,55666,23231,9.73684210526,10.0,2929.78947368,1222.68421053
Shetland Sheepdog,19,0.887021475257,167627,45701,10.5263157895,10.0,8822.47368421,2405.31578947
Rottweiler,19,0.887021475257,134333,41875,11.1052631579,10.0,7070.15789474,2203.94736842
Kuvasz,18,0.840336134454,97029,29101,11.6111111111,10.0,5390.5,1616.72222222
Lakeland Terrier,18,0.840336134454,210278,72498,10.4444444444,10.0,11682.1111111,4027.66666667
Italian Greyhound,17,0.793650793651,140849,37411,10.0,10.0,8285.23529412,2200.64705882
Basset,17,0.793650793651,198356,48876,10.7058823529,10.0,11668.0,2875.05882353
American Staffordshire Terrier,16,0.746965452848,148628,36502,10.3125,10.0,9289.25,2281.375
Great Pyrenees,15,0.700280112045,184961,67061,14.6666666667,12.6666666667,12330.7333333,4470.73333333
West Highland White Terrier,15,0.700280112045,94658,22654,15.0,14.0,6310.53333333,1510.26666667
Soft-Coated Wheaten Terrier,15,0.700280112045,49545,15544,20.8,21.3333333333,3303.0,1036.26666667
Old English Sheepdog,15,0.700280112045,116482,35613,11.0666666667,10.0,7765.46666667,2374.2
Pekinese,14,0.653594771242,95468,27988,11.0,10.0,6819.14285714,1999.14285714
